Nombre,Distrito,Lista,Agrupacion/movimiento,Twitter,Genero,Edad
Adriana Camila Ampuero Barrientos,26,La Lista del Pueblo,Lista del Pueblo,ampueroadriana,Mujer,24
Alejandra Alicia Flores Carlos,2,Independientes de Tarapacá,De origen Aymara,https://twitter.com/afc073,Mujer,60 
Tammy Solange Pustilnick Arditi,20,Independientes No Neutrales,Independientes No Neutrales,https://twitter.com/T_Pustilnick,Mujer,34 
Helmuth Jacobo Martinez Llancapan,23,La Lista del Pueblo,Lista del Pueblo,MartinezHelmuth,Hombre,34
Natalia Esther Henríquez Carreño,9,La Lista del Pueblo,Lista del Pueblo,https://twitter.com/medicanatyh?lang=es,Mujer,35 
Alejandra Pía Pérez Espina,9,La Lista del Pueblo,Lista del Pueblo,alelapia,Mujer,43 
Alvin Antonio Saldaña Muñoz,15,Movimientos Sociales Autónomos,Red por la Soberanía Alimentaria de la VI Región y ONG Tejiendo Ecologías,AlvinSM15,Hombre,44 
Lisette Lorena Vergara Riquelme,6,La Lista del Pueblo,Lista del Pueblo,LisetteVergaraR,Mujer,28
Cristóbal Patricio Andrade León,6,La Lista del Pueblo,Lista del Pueblo,dinoazulado_d6,Hombre,32
Alondra Carrillo Vidal,12,Voces Constituyentes,Coordinadora Feminista 8M,https://twitter.com/AlondraCVidal,Mujer,29
Maria Trinidad Castillo Boilet,5,Independientes por la Región de Coquimbo,Independientes por la Región de Coquimbo,sin twitter,Mujer,64
Ivanna Daniela Olivares Miranda,5,La Lista del Pueblo,La Lista del Pueblo - Movimiento Territorial Constituyente,https://twitter.com/IvannaOlivares5,Mujer,30
Daniel Alejandro Bravo Silva,5,La Lista del Pueblo,La Lista del Pueblo - Movimiento Territorial Constituyente,https://twitter.com/dbravosilva,Hombre,39
Constanza Andrea San Juan Standen,4,Asamblea Constituyente Atacama,Lista del pueblo,https://twitter.com/CotaSanJuan,Mujer,35
César Uribe Araya,19,La Lista del Pueblo,Lista del Pueblo,CesarUribeA,Hombre,37
María Elisa Quinteros Cáceres,17,Asamblea Popular por la Dignidad,Asamblea Popular por la Dignidad,https://twitter.com/meqchile?lang=es,Mujer,39
Mauricio Daza Carrasco,28,Regionalismo Ciudadano Independiente,Regionalismo Ciudadano Independiente,https://twitter.com/mdaza_abogado,Hombre,49
Carolina Andrea Sepúlveda Sepúlveda,19,Independientes No Neutrales,Independientes No Neutrales,CarolinaSepuD19,Mujer,40
Janis Jan del Carmen Meneses Palma,6,Movimientos Sociales Independientes,Asamblea Vecinal Los Pinos Quilpué,JanisMeneses_D6,Mujer,31
Giovanna Jazmín Grandón Caro,12,La Lista del Pueblo,Lista del Pueblo,TiaPikachu,Mujer,46
Loreto Cristina Vallejos Dávila,15,La Lista del Pueblo,Lista del Pueblo,https://twitter.com/loreto_vallejos,Mujer,41
Gloria del Transito Alvarado Jorquera,16,Corrientes Independientes,Lista del pueblo,https://twitter.com/gloconstituyent,Mujer,58
Gaspar Roberto Domínguez Donoso,26,Independientes No Neutrales,Independientes No Neutrales,https://twitter.com/gdominguez_,Hombre,32
Francisca Marycarmen Arauna Urrutia,18,La Lista del Pueblo,Lista del Pueblo,FranciscaArauna,Mujer,30
Fernando Salinas Manfredini,18,La Lista del Pueblo,Lista del Pueblo,fersalinas333,Hombre,65
Elisa Amanda Giustinianovich Campos ,28,La Lista del Pueblo,Lista del Pueblo,https://twitter.com/ElisaGiustinia1,Mujer,37
Francisco Javier Caamaño Rojas,14,La Lista del Pueblo,Lista del Pueblo,frandistrito14,Hombre,31
Bastián Esteban Labbé Salazar,20,Asamblea Popular Constituyente,Coordinadora Territorial Wallpen / ONG Colectivo el Queule / Salvemos el Santuario / Red de Humedales del Biobío / Red Plurinacional de Humedales / Asamblea Ambiental del Biobío,https://twitter.com/bastianlabbed20,Hombre,31
Cristina Inés Dorador Ortiz,3,Movimiento Independientes del Norte,Sociedad Civil por la Acción Climática,https://twitter.com/criordor,Mujer,41
Rodrigo Logan Soto,9,Independiente,Independiente,https://twitter.com/rodrigologans,Hombre,41
Felix Ramon Galleguillos Aymani,999,Independiente (Pueblos Originarios),De origen Atacameño,LickanantayC,Hombre,35
Alexis Reinaldo Caiguan Ancapan,999,Independiente (Pueblos Originarios),De origen Mapuche,sin twitter,Hombre,45
Victorino Ernesto Antilef Ñanco,999,Independiente (Pueblos Originarios),De origen Mapuche,sin twitter,Hombre,51
Eric Johanny Chinga Ferreira,999,Independiente (Pueblos Originarios),De origen Diaguita,DiaguitaConsti1,Hombre,50
Isabel Selena Godoy Monárdez,999,Independiente (Pueblos Originarios),Concejo Nacional del Pueblo Colla,https://twitter.com/isabelgodoym,Mujer,53
Wilfredo Manuel Bacian Delgado,999,Independiente (Pueblos Originarios),De origen Quechua,https://twitter.com/bacianwilfredo,Hombre,45
Tiare Maeva Carolina Aguilera Hey,999,Independiente (Pueblos Originarios),De origen Rapa Nui,TiareHey,Mujer,39
Lidia Cristina González Calderón,999,Independiente (Pueblos Originarios),De origen Yagán,lidiayagan,Mujer,54
Fernando del Carmen Tirado Soto,999,Independiente (Pueblos Originarios),Pueblo Chango,sin twitter,Hombre,67
Margarita Virginia Vargas Lopez,999,Independiente (Pueblos Originarios),De origen Kawésqar,CKawesqar,Mujer,51
Elisa Loncón Antileo,999,Independiente (Pueblos Originarios),De origen Mapuche,https://twitter.com/elisaloncon,Mujer,58
Luis Alberto Jimenez Cáceres,999,Independiente (Pueblos Originarios),De origen Aymara,https://twitter.com/LuisJimenezC,Hombre,37
Natividad del Carmen Llanquileo Pilquimán,999,Independiente (Pueblos Originarios),De origen Mapuche,https://twitter.com/NatividadLlanq3,Mujer,36
Adolfo Millabur Ñancuil,999,Independiente (Pueblos Originarios),Identidad Territorial Lafkenche,https://twitter.com/MillaburAdolfo,Hombre,54
Rosa Elizabeth Catrileo Arias,999,Independiente (Pueblos Originarios),De origen Mapuche,rkatrileo,Mujer,39
Isabella Brunilda Mamani Mamani,999,Independiente (Pueblos Originarios),De origen Aymara,MamaniIsabella,Mujer,33
Francisca Linconao Huircapan,999,Independiente (Pueblos Originarios),De origen Mapuche,MachiFrancisca1,Mujer,64
Guillermo Nicolás Namor Kong,4,Independientes No Neutrales,Independientes No Neutrales,https://twitter.com/GuillermoNamor,Hombre,24
Miguel Ángel Botto Salinas,6,Independientes No Neutrales,Independientes No Neutrales,https://twitter.com/BottoConstituy1,Hombre,52
Patricia Politzer Kerekes,10,Independientes No Neutrales,Independientes No Neutrales,https://twitter.com/patriciapolitz,Mujer,69
Paulina Valeria Valenzuela Río,14,Independientes No Neutrales,Independientes No Neutrales,tia_paulina_vr,Mujer,36
Lorena del Pilar Céspedes Fernández,23,Independientes No Neutrales,Independientes No Neutrales,LorenaCesp_D23,Mujer,47
Benito José Baranda Ferrán,12,Independientes No Neutrales,Independientes No Neutrales,https://twitter.com/benitobaranda,Hombre,62
Juan José Martin Bravo,12,Independientes No Neutrales,Independientes No Neutrales,https://twitter.com/JuanjoMartinb,Hombre,25
Javier Fuchslocher Baeza,21,Independientes No Neutrales,Independientes No Neutrales,JFuchslocher21,Hombre,32
Carolina Eliana Videla Osorio,1,Apruebo Dignidad,Partido Comunista,https://twitter.com/CaroDistrito1,Mujer,52
Hugo Humberto Gutiérrez Gálvez,2,Apruebo Dignidad,Partido Comunista,https://twitter.com/Hugo_Gutierrez_,Hombre,59
Hernán Jesús Velásquez Núñez,3,Apruebo Dignidad,Federación Regionalista Verde Social (FRVS),https://twitter.com/oasishernan,Hombre,55
Ericka Natalia Portilla Barrios,4,Apruebo Dignidad,Partido Comunista,https://twitter.com/erickaportillab,Mujer,36
Jennifer Valeria Mella Escobar,5,Apruebo Dignidad,Convergencia Social (CS),https://twitter.com/jeniffermella,Mujer,40
Carolina Cyntia Vilches Fuenzalida,6,Apruebo Dignidad,Comunes (COM),https://twitter.com/CaroVilchesF,Mujer,36
Mariela Andrea Serey Jiménez,6,Apruebo Dignidad,Convergencia Social (CS),https://twitter.com/marielaserey,Mujer,40
Jaime Andrés Bassa Mercado,7,Apruebo Dignidad,Convergencia Social (CS),https://twitter.com/Jaime_Bassa,Hombre,44
María José Oyarzún Solis,7,Apruebo Dignidad,Revolución Democrática (RD),coteoyarzund7,Mujer,38
Valentina Andrea Miranda Arce,8,Apruebo Dignidad,Partido Comunista,https://twitter.com/valemirandacc,Mujer,21
Tatiana Karina Urrutia Herrera,8,Apruebo Dignidad,Revolución Democrática (RD),https://twitter.com/tatiurru,Mujer,38
Daniel Rodrigo Stingo Camus,8,Apruebo Dignidad,Revolución Democrática (RD),https://twitter.com/danielstingo,Hombre,55
Bárbara Sepulveda Hales,9,Apruebo Dignidad,Partido Comunista,https://twitter.com/BSepulvedaHales,Mujer,35
Fernando Atria Lemaitre,10,Apruebo Dignidad,Revolución Democrática (RD),https://twitter.com/fernando_atria,Hombre,52
Giovanna Ángela Roa Cadin,10,Apruebo Dignidad,Revolución Democrática (RD),https://twitter.com/giovannaroa,Mujer,34
Constanza Gabriela Schonhaut Soto,11,Apruebo Dignidad,Convergencia Social (CS),https://twitter.com/conyschon,Mujer,32
Beatriz de Jesús Sánchez Muñoz,12,Apruebo Dignidad,Revolución Democrática (RD),https://twitter.com/labeasanchez,Mujer,50
Marcos Patricio Barraza Gómez,13,Apruebo Dignidad,Partido Comunista,https://twitter.com/marcosbarrazag,Hombre,48
Ignacio Jaime Achurra Díaz,14,Apruebo Dignidad,Convergencia Social (CS),https://twitter.com/IgnacioAchurra,Hombre,41
Damaris Abarca González,15,Apruebo Dignidad,Convergencia Social (CS),https://twitter.com/damabarca,Mujer,31
Nicolás Fernando Nuñez Gangas,16,Apruebo Dignidad,Federación Regionalista Verde Social (FRVS),https://twitter.com/NicolasFernand,Hombre,33
Paola Alejandra Grandón González,17,Apruebo Dignidad,Federación Regionalista Verde Social (FRVS),https://twitter.com/D17Grandon,Mujer,47
Roberto Antonio Celedón Fernández,17,Apruebo Dignidad,Federación Regionalista Verde Social (FRVS),https://twitter.com/robertoceledonf,Hombre,74
Amaya Paulina Alvez Marín,20,Apruebo Dignidad,Revolución Democrática (RD),https://twitter.com/amaya_alvez,Mujer,50
Vanessa Camila Hoppe Espoz,21,Apruebo Dignidad,Partido Comunista,https://twitter.com/vanessahoppe21,Mujer,41
Manuela Royo Letelier,23,Apruebo Dignidad,Partido Igualdad (PI),https://twitter.com/RoyoManuela,Mujer,38
Aurora Genoveva Delgado Vergara,24,Apruebo Dignidad,Revolución Democrática (RD),https://twitter.com/AuroraDelgadoV,Mujer,56
Yarela Nicohl Gómez Sánchez,27,Apruebo Dignidad,Revolución Democrática (RD),YarelaAysen,Mujer,30
Jorge Bruno Abarca Riveros,1,Lista del Apruebo,Partido Liberal (PL),https://twitter.com/Jorgeabarcaxv,Hombre,54
Maximiliano Hurtado Roco,4,Lista del Apruebo,Partido Socialista (PS),MaxHurtadoR,Hombre,36
Carlos Calvo Muñoz,5,Lista del Apruebo,Partido Socialista (PS),sin twitter,Hombre,75
Claudio Gómez Castro,6,Lista del Apruebo,Partido Socialista (PS),https://twitter.com/cgomezcas,Hombre,41
Agustín Squella Narducci,7,Lista del Apruebo,Partido Liberal (PL),https://twitter.com/squellaagustin,Hombre,77
Bessy Mireya Del Rosario Gallardo Prado,8,Lista del Apruebo,Partido Progresista (PRO),https://twitter.com/BessyGallardoP,Mujer,36
César Valenzuela Maass,9,Lista del Apruebo,Partido Socialista (PS),https://twitter.com/cesarvalenz,Hombre,32
Jorge Baradit Morales,10,Lista del Apruebo,Partido Socialista (PS),https://twitter.com/baradit,Hombre,52
Patricio Fernández Chadwick,11,Lista del Apruebo,Partido Liberal (PL),https://twitter.com/patofdez,Hombre,51
Malucha Pinto Solari,13,Lista del Apruebo,Partido Socialista (PS),https://twitter.com/maluchayallego,Mujer,66
Renato Fabrizio Garín González,14,Lista del Apruebo,Partido Radical (PR),https://twitter.com/RenatoGarinG,Hombre,34
Matías Orellana Cuellar,15,Lista del Apruebo,Partido Socialista (PS),Mati_Orellana_,Hombre,32
Adriana Cancino Meneses,16,Lista del Apruebo,Partido Socialista (PS),ACancinoCC,Mujer,58
Christian Viera Alvarez,17,Lista del Apruebo,Independiente,https://twitter.com/christianpviera,Hombre,48
Ricardo Montero Allende,18,Lista del Apruebo,Partido Socialista (PS),https://twitter.com/Rmontero_,Hombre,37
Felipe Harboe Bascuñán,19,Lista del Apruebo,Partido Por la Democracia (PPD),https://twitter.com/felipeharboe,Hombre,48
Andrés Cruz Carrasco,20,Lista del Apruebo,Partido Socialista (PS),sin twitter,Hombre,48
Luis Ramón Barceló Amado,21,Lista del Apruebo,Partido por la Democracia (PPD),https://twitter.com/barcelobiobio21,Hombre,67
Fuad Chahin Valenzuela,22,Lista del Apruebo,Partido Demócrata Cristiano (DC),fchahin,Hombre,44
Eduardo Guillermo Castillo Vigouroux,23,Lista del Apruebo,Partido por la Democracia (PPD),sin twitter,Hombre,70
Ramona Reyes Painequeo,24,Lista del Apruebo,Partido Socialista (PS),https://twitter.com/ramonareyesp,Mujer,54
Pedro Muñoz Leiva,24,Lista del Apruebo,Partido Socialista (PS),pmconstituyente,Hombre,33
Mario Vargas Vidal,25,Lista del Apruebo,Partido Socialista (PS),MarioVa25830274,Hombre,58
Julio Álvarez Pinto,26,Lista del Apruebo,Partido Socialista (PS),https://twitter.com/jjlalvarez,Hombre,56
Tomas Laibe Saez,27,Lista del Apruebo,Partido Socialista (PS),tomaslaibe,Hombre,30
Pollyana Rivera Bigas,1,Vamos por Chile,Unión Demócrata Independiente (UDI),https://twitter.com/Pollyanapolita,Mujer,46
Álvaro Jofré Cáceres,2,Vamos por Chile,Renovación Nacional (RN),https://twitter.com/AlvaroJofre,Hombre,49
Pablo Antonio Toloza Fernandez,3,Vamos por Chile,Unión Demócrata Independiente (UDI),https://twitter.com/pablotoloza,Hombre,49
Roberto Vega Campusano,5,Vamos por Chile,Renovación Nacional (RN),rvega_c,Hombre,43
Ruggero Cozzi Elzo,6,Vamos por Chile,Renovación Nacional (RN),https://twitter.com/ruggero_cozzi,Hombre,34
Raúl Celis Montt,7,Vamos por Chile,Renovación Nacional (RN),https://twitter.com/RaulCelisM,Hombre,58
Jorge Arancibia Reyes,7,Vamos por Chile,Unión Demócrata Independiente (UDI),https://twitter.com/arancibialmte,Hombre,81
Bernardo de la Maza Bañados,8,Vamos por Chile,Evolución Política (Evópoli),https://twitter.com/bdelamaza,Hombre,75
Arturo Zúñiga Jory,9,Vamos por Chile,Unión Demócrata Independiente (UDI),https://twitter.com/arturozunigaj,Hombre,38
Cristián Monckeberg Bruner,10,Vamos por Chile,Renovación Nacional (RN),https://twitter.com/cmonckeberg,Hombre,53
Teresa Marinovic Vial,10,Vamos por Chile,Partido Republicano (REP),https://twitter.com/tere_marinovic,Mujer,48
Marcela Cubillos Sigall,11,Vamos por Chile,Unión Demócrata Independiente (UDI),https://twitter.com/mcubillossigall?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,Mujer,54
Hernán Larraín Matte,11,Vamos por Chile,Evolución Política (Evópoli),HernanLarrain,Hombre,46
Bernardo Fontaine Talavera,11,Vamos por Chile,Renovación Nacional (RN),https://twitter.com/berfontaine,Hombre,56
Constanza Hube Portus,11,Vamos por Chile,Unión Demócrata Independiente (UDI),https://twitter.com/conihube,Mujer,35
Manuel José Ossandón Lira,12,Vamos por Chile,Renovación Nacional (RN),https://twitter.com/ossandon_d12,Hombre,33
Claudia Mabel Castro Gutiérrez,14,Vamos por Chile,Unión Demócrata Independiente (UDI),https://twitter.com/clau_castrog,Mujer,53
Carol Bown Sepúlveda,15,Vamos por Chile,Unión Demócrata Independiente (UDI),https://twitter.com/CarolCBown,Mujer,42
Ricardo Neumann Bertín,16,Vamos por Chile,Unión Demócrata Independiente (UDI),raneumannb,Hombre,33
Barbara Rebolledo Aguirre,17,Vamos por Chile,Evolución Política (Evópoli),BRebolledoD17,Mujer,48
Alfredo Moreno Echeverría,17,Vamos por Chile,Unión Demócrata Independiente (UDI),amorenoe,Hombre,39
Patricia Labra Besserer,18,Vamos por Chile,Renovación Nacional (RN),PatyLabraB,Mujer,35
Margarita Letelier Cortés,19,Vamos por Chile,Unión Demócrata Independiente (UDI),https://twitter.com/Margaritaleteli,Mujer,67
Martín Arrau García-Huidobro,19,Vamos por Chile,Unión Demócrata Independiente (UDI),martinarrau,Hombre,42
Rocío Cantuarias Rubio,20,Vamos por Chile,Evolución Política (Evópoli),rocicantuarias,Mujer,42
Luciano Ernesto Silva Mora,20,Vamos por Chile,Renovación Nacional (RN),LucianoErnest15,Hombre,50
Paulina Veloso Muñoz,21,Vamos por Chile,Renovación Nacional (RN),PaulinaVelosoM1,Mujer,33
Ruth Hurtado Olave,22,Vamos por Chile,Renovación Nacional (RN),ruth_uas,Mujer,39
Eduardo Andrés Cretton Rebolledo,22,Vamos por Chile,Unión Demócrata Independiente (UDI),cretton15,Hombre,25
Angelica Tepper Kolossa,23,Vamos por Chile,Renovación Nacional (RN),angelica_tepper,Mujer,60
Luis Mayol Bouchon,23,Vamos por Chile,Renovación Nacional (RN),LMayolB,Hombre,68
Felipe Ignacio Mena Villar,24,Vamos por Chile,Unión Demócrata Independiente (UDI),https://twitter.com/felipemena_,Hombre,38
María Cecilia Ubilla Pérez,25,Vamos por Chile,Unión Demócrata Independiente (UDI),https://twitter.com/CeciliaUbilla,Mujer,65
Harry Jurgensen Caesar,25,Vamos por Chile,Renovación Nacional (RN),https://twitter.com/harryjurgensen?lang=es,Hombre,79
Katerine Montealegre Navarro,26,Vamos por Chile,Unión Demócrata Independiente (UDI),Ktymontealegre,Mujer,29
Geoconda Navarrete Arratia,27,Vamos por Chile,Evolución Política (Evópoli),https://twitter.com/geoconda_aysen,Mujer,51
Rodrigo Álvarez Zenteno,28,Vamos por Chile,Unión Demócrata Independiente (UDI),RodrigoAlvarez_,Hombre,54
Dayyana González Araya,3,La Lista del Pueblo,Lista del Pueblo,sin twitter,Mujer,33
Camila Ignacia Zárate Zárate,7,La Lista del Pueblo,Lista del Pueblo,https://twitter.com/CamilaZarateZ,Mujer,29
Tania Isabel Madriaga Flores,7,La Lista del Pueblo,Lista del Pueblo,https://twitter.com/FloresMadriaga,Mujer,49
María Magdalena Rivera Iribarren,8,La Lista del Pueblo,Lista del Pueblo,https://twitter.com/mariariveramit,Mujer,63
Marco Antonio Arellano Ortega,8,La Lista del Pueblo,Lista del Pueblo,https://twitter.com/MarcoArellano29,Hombre,31
Manuel Mauricio Woldarsky González,10,La Lista del Pueblo,Lista del Pueblo,https://twitter.com/manuconstituye,Hombre,37
Ingrid Fernanda Villena Narbona,13,La Lista del Pueblo,Lista del Pueblo,VillenaNarbona,Mujer,30
Rodrigo Ernesto Rojas Vade,13,La Lista del Pueblo,Lista del Pueblo,sin twitter,Hombre,37
Elsa Carolina Labraña Pino,17,La Lista del Pueblo,Lista del Pueblo,ElsaLabrana,Mujer,46
Rossana Loreto Vidal Hernández,20,La Lista del Pueblo,Lista del Pueblo,LoretoVidalH,Mujer,51